geography_entity_id,geography_type,geography_name,mean_abs_target_pre_2020,mean_abs_target_recent_2023_plus,mean_abs_target_shock_2020_2022,mean_target_pre_2020,mean_target_recent_2023_plus,mean_target_shock_2020_2022,row_count_pre_2020,row_count_recent_2023_plus,row_count_shock_2020_2022,std_target_pre_2020,std_target_recent_2023_plus,std_target_shock_2020_2022,mean_shift_shock_vs_pre,mean_shift_recent_vs_pre,mean_shift_recent_vs_shock,max_abs_mean_shift
geo:zori:msa:394692,zori_msa,"Houston, TX (TX)",0.0031143272959421276,0.002975514384973334,0.00564596278841266,0.0017827561795507505,0.001116689050845882,0.004464386905456672,59.0,37.0,36.0,0.003440854948848938,0.003357345969844767,0.0059656302276070204,0.0026816307259059217,-0.0006660671287048686,-0.0033476978546107903,0.0033476978546107903
geo:zori:msa:394308,zori_msa,"Albany, NY (NY)",0.0052707874722430995,0.0049740654762879385,0.006005533161022231,0.002306392884158282,0.003584314869310349,0.00563556863533468,59.0,37.0,36.0,0.006170282379536339,0.005045866342520345,0.004569742794807568,0.003329175751176398,0.0012779219851520667,-0.0020512537660243315,0.003329175751176398
geo:zori:msa:394770,zori_msa,"Lansing, MI (MI)",0.007410439024342998,0.004769333704865388,0.007711396066401009,0.00369700130153909,0.004184955844161842,0.006980206833581006,59.0,37.0,36.0,0.008601014689854575,0.004399788987164789,0.006160829602232566,0.0032832055320419166,0.00048795454262275193,-0.0027952509894191646,0.0032832055320419166
geo:zori:msa:395109,zori_msa,"Spartanburg, SC (SC)",0.0059438524493087815,0.005047259275161001,0.007203028542750963,0.003953731946172157,0.0029242913472222873,0.006173228082446091,48.0,37.0,36.0,0.0069113983015495735,0.005736909245822932,0.006024953231667407,0.0022194961362739336,-0.0010294405989498701,-0.0032489367352238037,0.0032489367352238037
geo:zori:msa:395033,zori_msa,"Rockford, IL (IL)",0.005283464265563996,0.007601181813777289,0.007103800314830524,0.0033293500247665374,0.006268424834203497,0.006543142475227711,59.0,37.0,36.0,0.006263269255349979,0.006913394746993219,0.007046232955272582,0.003213792450461174,0.0029390748094369596,-0.00027471764102421446,0.003213792450461174
geo:zori:msa:753899,zori_msa,"Los Angeles, CA (CA)",0.004321390749632985,0.002816985864400627,0.006096587214103627,0.004321390749632985,0.0018342896318326975,0.005043889008198044,59.0,37.0,36.0,0.0023825235016368693,0.0030325936517577676,0.006384930128969124,0.0007224982585650594,-0.002487101117800287,-0.0032095993763653465,0.0032095993763653465
geo:zori:msa:394388,zori_msa,"Birmingham, AL (AL)",0.003217355423568463,0.0040198411169151595,0.006156834924202991,0.0023541918036686735,0.002815725249453354,0.0055135394215851475,59.0,37.0,36.0,0.0033467983018752685,0.004040024586803675,0.005486191407923896,0.003159347617916474,0.0004615334457846805,-0.0026978141721317934,0.003159347617916474
geo:zori:msa:394405,zori_msa,"Boulder, CO (CO)",0.005781545001146708,0.005282282921789633,0.006426722061580714,0.003722613581295493,0.0017857767435678772,0.004922729930503453,59.0,37.0,36.0,0.006304476860572829,0.006359394082412768,0.006491274353747187,0.0012001163492079596,-0.001936836837727616,-0.0031369531869355756,0.0031369531869355756
geo:zori:msa:394645,zori_msa,"Greeley, CO (CO)",0.006331730621533241,0.004263613916004349,0.006303794562075094,0.0032907385968932003,0.001855840935959473,0.0049912607836325,57.0,37.0,36.0,0.006885914726235535,0.005265059026217802,0.005066817516734733,0.0017005221867392997,-0.0014348976609337273,-0.003135419847673027,0.003135419847673027
geo:zori:msa:394425,zori_msa,"Buffalo, NY (NY)",0.0065413120605250325,0.0039029454650695086,0.0071104813351504405,0.0035050405137012626,0.003723973327985292,0.006619139330613841,59.0,37.0,36.0,0.007447582968244074,0.0030941037417776675,0.00533078349010751,0.003114098816912578,0.00021893281428402933,-0.0028951660026285487,0.003114098816912578
geo:zori:msa:394735,zori_msa,"Kansas City, MO (MO)",0.0037537119689831353,0.004565559005669943,0.007007777703283754,0.003175008913617844,0.003777582035828354,0.006253328343646105,59.0,37.0,36.0,0.003271994635230902,0.003940287429522392,0.005368179516688051,0.003078319430028261,0.0006025731222105099,-0.0024757463078177513,0.003078319430028261
geo:zori:msa:394466,zori_msa,"Cincinnati, OH (OH)",0.004140345516530844,0.004165267793484668,0.006680954675840809,0.0036085817769190573,0.003434162078660181,0.0064989372349286085,59.0,37.0,36.0,0.0034272638375415524,0.003504084166691318,0.004547139432493892,0.002890355458009551,-0.00017441969825887638,-0.0030647751562684275,0.0030647751562684275
geo:zori:msa:394520,zori_msa,"Davenport, IA (IL)",0.004189244983191398,0.004473064734218243,0.005835715008547106,0.0016070692266975987,0.0029703306549772866,0.004567015825041094,59.0,37.0,36.0,0.005349853831236628,0.004628402339916927,0.0055903805754279,0.0029599465983434956,0.001363261428279688,-0.0015966851700638077,0.0029599465983434956
geo:zori:msa:394697,zori_msa,"Huntington, WV (OH)",0.006433484247170959,0.005747292655819494,0.0069678117334995016,0.002054522861935608,0.003741309429558787,0.005011001316694812,37.0,37.0,36.0,0.0077327625411302055,0.0062050859054678265,0.007226446838355612,0.002956478454759204,0.001686786567623179,-0.001269691887136025,0.002956478454759204
geo:zori:msa:394938,zori_msa,"Omaha, NE (NE)",0.0039046003646273316,0.0042565613993476,0.00672599164111397,0.002776623363583295,0.0037555753283730056,0.005730663114704425,59.0,37.0,36.0,0.003940345277436611,0.003710470771217248,0.005859350122602434,0.00295403975112113,0.0009789519647897104,-0.0019750877863314196,0.00295403975112113
geo:zori:msa:394640,zori_msa,"Grand Rapids, MI (MI)",0.007566478191414161,0.004820952441500759,0.008858658274382578,0.005333166300034022,0.003763897159697333,0.006641997844479383,59.0,37.0,36.0,0.007810116192685027,0.004612144063758799,0.008231205508257703,0.001308831544445361,-0.0015692691403366892,-0.0028781006847820503,0.0028781006847820503
geo:zori:msa:394862,zori_msa,"Milwaukee, WI (WI)",0.004744055153937225,0.004217065577503806,0.005108454833654548,0.00206785370570373,0.0038325110755532163,0.004888483175993331,59.0,37.0,36.0,0.005639214455824875,0.00301627093635642,0.0035670544234274485,0.002820629470289601,0.0017646573698494863,-0.0010559721004401146,0.002820629470289601
geo:zori:msa:394447,zori_msa,"Cedar Rapids, IA (IA)",0.004320095689508591,0.0058779680996560255,0.007162279119632621,0.0017125051702288352,0.004531093061994116,0.003872775698126139,59.0,37.0,36.0,0.005156346921705806,0.006009059774619109,0.00833246753745943,0.0021602705278973037,0.0028185878917652814,0.0006583173638679773,0.0028185878917652814
geo:zori:msa:394492,zori_msa,"Columbus, OH (OH)",0.004573178498522095,0.004460538268044127,0.007125290774207488,0.0036926529872369288,0.003027973056624652,0.005814469021599577,59.0,37.0,36.0,0.004561398882358536,0.004812350052968189,0.006520748816955701,0.0021218160343626485,-0.000664679930612277,-0.0027864959649749254,0.0027864959649749254
geo:zori:msa:394579,zori_msa,"Evansville, IN (IN)",0.0052721520914966475,0.007952406907553427,0.008650379186726696,0.003093182104653251,0.005754996467051811,0.0058491886551790585,59.0,37.0,36.0,0.005792079285876208,0.009091542117475053,0.008844119390201816,0.0027560065505258077,0.0026618143623985606,-9.419218812724717e-05,0.0027560065505258077
geo:zori:msa:395179,zori_msa,"Utica, NY (NY)",,0.008372145563512137,0.012659986360304173,,0.004720433818379633,0.007470695592126229,,37.0,19.0,,0.009122940601675778,0.013456410330083499,,,-0.0027502617737465967,0.0027502617737465967
geo:zori:msa:394367,zori_msa,"Baton Rouge, LA (LA)",0.004083279599010583,0.0035848789795743436,0.006075441047667586,0.0012224809636413177,0.0019385581553094298,0.003957351658740325,59.0,37.0,36.0,0.005366450557910406,0.004195858277059273,0.006078133093275185,0.0027348706950990074,0.000716077191668112,-0.002018793503430895,0.0027348706950990074
geo:zori:msa:394807,zori_msa,"Louisville, KY (KY)",0.004585303036248434,0.0038974406967377346,0.006132617277495975,0.003226655425451136,0.003367233731398038,0.005933589405496136,59.0,37.0,36.0,0.004813412222788426,0.0032563403252303374,0.004124791316304964,0.0027069339800450004,0.00014057830594690207,-0.0025663556740980983,0.0027069339800450004
geo:zori:msa:394711,zori_msa,"Jackson, MS (MS)",0.0036900177773103314,0.004699417232114373,0.0066031575650479105,0.002129722531357583,0.003822838021826211,0.004763048447994277,43.0,37.0,36.0,0.0040384019339920986,0.004603352700485494,0.0069514019807849275,0.002633325916636694,0.0016931154904686278,-0.000940210426168066,0.002633325916636694
geo:zori:msa:395238,zori_msa,"Worcester, MA (MA)",0.005970301961966811,0.005379499780941917,0.0076213241944814054,0.004559779850415112,0.004755509313730138,0.007141388821858387,59.0,37.0,36.0,0.006065547229089275,0.004157470301099081,0.005739477370108033,0.0025816089714432748,0.00019572946331502562,-0.002385879508128249,0.0025816089714432748
