experiment_key,experiment_label,geography_entity_id,geography_type,name,holdout_rows,y_true_std,naive_mae,linear_mae,mae_gain_vs_naive,relative_gain_pct,normalized_linear_mae,normalized_naive_mae
exp_001,exp_001 baseline mixed surface,geo:zori:city:4099,zori_city,Cincinnati (OH),10,0.0040554164639033915,0.00377988386297379,0.00324165733350175,0.00053822652947204,0.1423923456337611,0.7993401817927257,0.9320581243918911
exp_001,exp_001 baseline mixed surface,geo:zori:city:52001,zori_city,Fayetteville (NC),10,0.0045313297681627415,0.00288292473040841,0.00323992586921725,-0.00035700113880884026,-0.12383297248217287,0.7150055358983286,0.6362204646114977
exp_001,exp_001 baseline mixed surface,geo:zori:city:32060,zori_city,Hollywood (FL),10,0.003295079653339276,0.0039818534372916495,0.0032383548006927826,0.0007434986365988676,0.186721748629848,0.9827849828792431,1.2084240310416738
exp_001,exp_001 baseline mixed surface,geo:zori:city:18800,zori_city,Katy (TX),10,0.003239074070019544,0.0030880218663048796,0.0032337250831886303,-0.0001457032168837501,-0.047183350116007515,0.99834860620187,0.9533656222582915
exp_001,exp_001 baseline mixed surface,geo:zori:city:24821,zori_city,Gainesville (FL),10,0.004545270802214145,0.0037480874979183504,0.00322868485880421,0.0005194026391141401,0.13857804531047127,0.710339383350144,0.824612583279425
exp_001,exp_001 baseline mixed surface,geo:zori:city:33225,zori_city,Oklahoma City (OK),10,0.003549093479401489,0.004396199995844121,0.0032218406481168303,0.00117435934772729,0.2671305556702271,0.9077925579633236,1.238682503393933
exp_001,exp_001 baseline mixed surface,geo:zori:msa:394753,zori_msa,"Knoxville, TN (TN)",10,0.003894439896271707,0.0037049763027951904,0.0032170221067605725,0.00048795419603461755,0.13170237976056265,0.8260551433443223,0.9513502330186435
exp_001,exp_001 baseline mixed surface,geo:zori:city:25483,zori_city,Lakeland (FL),10,0.0033295903401710627,0.00370611591609278,0.0032095886419909203,0.00049652727410186,0.13397510637641635,0.9639590202036755,1.1130846553039835
exp_001,exp_001 baseline mixed surface,geo:zori:msa:753924,zori_msa,"Urban Honolulu, HI (HI)",10,0.003358874741192689,0.0039813059031016795,0.0032076274754523904,0.0007736784276492898,0.19432780260530777,0.954970852623521,1.1853094294573112
exp_001,exp_001 baseline mixed surface,geo:zori:city:6790,zori_city,Riverview (FL),10,0.004129845234828796,0.004156330770392804,0.00320032430092282,0.0009560064694699841,0.23001212422264322,0.7749259642790198,1.0064132029308615
exp_001,exp_001 baseline mixed surface,geo:zori:city:38328,zori_city,Edmond (OK),10,0.003896274792963188,0.00385951253549882,0.0031970269611615995,0.0006624855743372199,0.17165006415806275,0.8205342618378829,0.9905647677800442
exp_001,exp_001 baseline mixed surface,geo:zori:city:52650,zori_city,Irvine (CA),10,0.004650779455814025,0.0036170745198348597,0.0031886862685240797,0.00042838825131078005,0.11843500844719629,0.6856240548103919,0.7777351203598976
exp_001,exp_001 baseline mixed surface,geo:zori:city:24967,zori_city,Gresham (OR),10,0.003581670567697573,0.00362159807832863,0.003176573926703495,0.00044502415162513446,0.12288060187797356,0.8868972918258955,1.0111477339627926
exp_001,exp_001 baseline mixed surface,geo:zori:city:11671,zori_city,Grand Rapids (MI),10,0.0048374262043236,0.0033568387504421203,0.00315870273491708,0.0001981360155250402,0.05902458540760834,0.6529717666997982,0.6939307409882225
exp_001,exp_001 baseline mixed surface,geo:zori:msa:395012,zori_msa,"Raleigh, NC (NC)",10,0.003810292670024089,0.0025893920506438904,0.00315509728609257,-0.00056570523544868,-0.2184702912438497,0.8280459165024253,0.6795782568134117
exp_001,exp_001 baseline mixed surface,geo:zori:city:25514,zori_city,Las Cruces (NM),10,0.003816019307041998,0.0041426987211860096,0.00315066287475965,0.0009920358464263598,0.2394660855623,0.8256412301021344,1.0856073798005068
exp_001,exp_001 baseline mixed surface,geo:zori:msa:394486,zori_msa,"Columbia, SC (SC)",10,0.004130879069611098,0.0032550689827642297,0.00313894528244291,0.00011612370032131983,0.03567472792011513,0.7598734384491257,0.7879845737219024
exp_001,exp_001 baseline mixed surface,geo:zori:msa:394669,zori_msa,"Hartford, CT (CT)",10,0.004118227461034187,0.0026129257252531903,0.0031293739220793646,-0.000516448196826175,-0.1976513116445863,0.7598837003756715,0.634478243364688
exp_001,exp_001 baseline mixed surface,geo:zori:msa:394404,zori_msa,"Boston, MA (MA)",10,0.004705007812224746,0.0029826198101736297,0.0031263131480734757,-0.0001436933378998457,-0.04817688711437908,0.6644650280814751,0.6339245181323745
exp_001,exp_001 baseline mixed surface,geo:zori:msa:394792,zori_msa,"Lexington, KY (KY)",10,0.0046734910201152715,0.00379211440809921,0.0031251464496157505,0.00066696795848346,0.17588286815897425,0.6686963634175698,0.8114093708059971
exp_001,exp_001 baseline mixed surface,geo:zori:city:48215,zori_city,Vancouver (WA),10,0.003819882439596196,0.0035323178271531503,0.00311869830063927,0.00041361952651387986,0.11709578434147698,0.8164382935745402,0.92471898887196
exp_001,exp_001 baseline mixed surface,geo:zori:zip:96952,zori_zip,92618 (CA),10,0.0047563243784516365,0.003918067365319961,0.0031087772782947797,0.0008092900870251801,0.20655338756767166,0.653609180311374,0.8237594944261224
exp_001,exp_001 baseline mixed surface,geo:zori:city:7858,zori_city,West Palm Beach (FL),10,0.003551952073455409,0.0028003906100444497,0.0031081710432377,-0.0003077804331932501,-0.10990625096702664,0.8750599611030253,0.7884088952022865
exp_001,exp_001 baseline mixed surface,geo:zori:zip:86026,zori_zip,63376 (MO),10,0.0046939645476875985,0.004898186444074076,0.003107987385794114,0.0017901990582799613,0.3654820163993104,0.6621241712030422,1.0435073367750687
exp_001,exp_001 baseline mixed surface,geo:zori:city:17551,zori_city,Concord (NC),10,0.003515458746944578,0.00419772952506151,0.0031065547217357095,0.0010911748033257999,0.2599440475645726,0.8836840211638771,1.1940773103111848
exp_001,exp_001 baseline mixed surface,geo:zori:zip:69672,zori_zip,28027 (NC),10,0.003894332208173562,0.00323278774887817,0.0030896871940764,0.0001431005548017699,0.04426537277352283,0.7933804896232672,0.8301263415825391
exp_001,exp_001 baseline mixed surface,geo:zori:msa:395057,zori_msa,"San Francisco, CA (CA)",10,0.003499011757722338,0.00331925647915077,0.00308145401314569,0.0002378024660050799,0.07164329346008283,0.8806640921811435,0.9486268435152162
exp_001,exp_001 baseline mixed surface,geo:zori:zip:91982,zori_zip,77494 (TX),10,0.003474398892269288,0.00466856319774795,0.00306284417157466,0.00160571902617329,0.34394287024921644,0.8815464966874248,1.3437038585683807
exp_001,exp_001 baseline mixed surface,geo:zori:msa:394466,zori_msa,"Cincinnati, OH (OH)",10,0.003937157751835254,0.00329523972826053,0.00305455088024109,0.00024068884801944,0.0730413772191601,0.7758263886727047,0.836959028813234
exp_001,exp_001 baseline mixed surface,geo:zori:msa:395183,zori_msa,"Vallejo, CA (CA)",10,0.0042125044572357785,0.00333284907796905,0.00305362763943172,0.00027922143853733005,0.0837786026325201,0.7248960019939048,0.791179952876785
exp_001,exp_001 baseline mixed surface,geo:zori:city:34303,zori_city,Toledo (OH),10,0.003733381862337233,0.00470837316748264,0.0030494570661852996,0.0016589161012973402,0.3523331822452573,0.8168082394540345,1.2611549905947812
exp_001,exp_001 baseline mixed surface,geo:zori:city:38438,zori_city,Eugene (OR),10,0.0034771175196696307,0.00426009976034861,0.0030428678407398,0.00121723191960881,0.2857285012286196,0.8751121650409188,1.2251814142748252
